DateTimePhoto,Code_exp,Code_Lieu,Phone,TypeNetwork_Fixed,aim_x_dd,aim_y_dd,aim.x,aim.y,point_x_dd,point_y_dd,point.x,point.y,distance_s12,distance_lon_UMT,distance_lat_UMT
2020:01:01 13:35:11,N16S8,FFBO,Standard,4G,47.01455556,6.908419444,341024.54613,5209004.8343,47.017778,6.903611,340668.66964,5209372.704,511.86078483,355.87649191,367.86967108
2020:01:01 13:56:41,N16E9a,CRFO,Experimental,4G,47.01142222,6.906258333,340850.9791,5208661.0317,47.010833,6.903889,340669.13444,5208600.3733,191.7030881,181.84465955,60.65835024
2020:01:01 13:57:12,N16E9b,CRFO,Experimental,4G,47.01142222,6.906258333,340850.9791,5208661.0317,47.026111,6.885,339279.24653,5210336.7569,2297.5807738,1571.732565,1675.7251684
2020:01:01 13:57:42,N16S9,CRFO,Standard,4G,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020:01:01 14:14:22,N16E10,CRCH,Experimental,4G,47.007325,6.903783333,340650.66576,5208210.7613,47.010833,6.903889,340669.13444,5208600.3733,390.07070292,18.468684346,389.61202972
2020:01:01 14:14:52,N16S10,CRCH,Standard,4G,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020:01:01 14:50:17,N16E11,SPON,Experimental,4G,46.99013056,6.908894444,340988.16524,5206289.64,46.991389,6.911389,341181.57987,5206424.4225,235.75581918,193.41462192,134.78250621
2020:01:01 14:50:49,N16S11,SPON,Standard,4G,46.99013056,6.908894444,340988.16524,5206289.64,46.989722,6.909167,341007.67828,5206243.6855,49.92834728,19.51304152,45.954488847
2020:01:01 15:22:12,N16E12,GORG,Experimental,4G,46.98966944,6.911566667,341189.99387,5206232.9763,46.991389,6.911389,341181.57987,5206424.4225,191.64176437,8.4140020078,191.44616379
2020:01:01 15:22:51,N16S12,GORG,Standard,4G,46.98966944,6.911566667,341189.99387,5206232.9763,46.991944,6.912778,341288.84018,5206483.2811,269.13020171,98.846313099,250.30481286
2020:01:11 11:26:52,N17E1,HGGA,Experimental,2G,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020:01:11 11:28:00,N17S1,HGGA,Standard,4G,47.04779167,6.874791667,338568.95736,5212767.043,47.048889,6.875278,338609.20938,5212887.9813,127.46672195,40.252023939,120.93831944
2020:01:11 11:53:56,N17E2,SGAF,Experimental,2G,47.05589444,6.879594444,338958.16773,5213657.5722,47.049444,6.879167,338906.27438,5212941.642,717.84254888,51.893346255,715.93023199
2020:01:11 11:54:41,N17S2,SGAF,Standard,4G,47.05589444,6.879594444,338958.16773,5213657.5722,47.055556,6.879444,338945.72269,5213620.2725,39.322940946,12.445040939,37.299745635
2020:01:11 12:19:37,N17E3,FAFO,Experimental,2G,47.05625,6.883172222,339230.9553,5213689.726,47.053333,6.895556,340162.7305,5213340.1989,995.21391994,931.77520032,349.52707138
2020:01:11 12:20:17,N17S3,FAFO,Standard,4G,47.05625,6.883172222,339230.9553,5213689.726,47.053333,6.882778,339192.24365,5213366.3821,325.66876709,38.711641529,323.34389139
2020:01:11 12:48:03,N17E4,JGAZ,Experimental,2G,47.05073611,6.886836111,339492.6622,5213069.468,47.046389,6.886389,339445.65329,5212587.3094,484.4687437,47.008914361,482.15855165
2020:01:11 12:48:29,N17S4,JGAZ,Standard,4G,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020:01:11 13:34:45,N17E5,ARVR,Experimental,2G,47.03736944,6.874911111,338546.57738,5211608.6202,47.030278,6.882778,339122.92591,5210804.3811,989.47506056,576.34853385,804.23908764
2020:01:11 13:35:17,N17S5,ARVR,Standard,4G,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020:01:11 14:15:30,N17E6,BOUD,Experimental,2G,47.02778333,6.887863889,339501.88393,5210516.7188,47.030278,6.882778,339122.92591,5210804.3811,475.79088548,378.95801352,287.66225683
2020:01:11 14:15:57,N17S6,BOUD,Standard,4G,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020:01:11 14:52:22,N17S7,FRBD,Standard,4G,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020:01:11 14:54:38,N17E7,FRBD,Experimental,2G,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020:01:11 15:15:07,N17E8,FFBO,Experimental,2G,47.01455556,6.908419444,341024.54613,5209004.8343,47.018889,6.905,340777.53819,5209493.3382,547.43064845,247.00793498,488.50391338
