DateTimePhoto;Code_exp;Code_lieu;Phone;TypeNetwork_Fixed;real_lat;real_lon;photo_lat;photo_lon;distance
2019:12:07 11:59:17;N10S4;CCHP;Standard;4G;None;None;None;None;None
2019:12:07 12:30:51;N10E5;FERM;Experimental;2G;47.08025;6.75442;47.0975;7.035556;21432.554138692914
2019:12:07 12:31:02;N10S5;FERM;Standard;4G;47.08025;6.75442;47.076667;6.781111;2065.8040772684417
2019:12:07 13:12:58;N10S6;CHOU;Standard;4G;None;None;None;None;None
2019:12:07 13:13:09;N10E6;CHOU;Experimental;2G;None;None;None;None;None
2019:12:07 14:28:08;N10E7;MAIL;Experimental;2G;None;None;None;None;None
2019:12:07 14:28:24;N10S7;MAIL;Standard;4G;47.10309167;6.786602778;47.103056;6.786667;6.284246144863284
2019:12:07 15:03:12;N10E8;VREV;Experimental;2G;None;None;None;None;None
2019:12:07 15:03:33;N10S8;VREV;Standard;4G;47.10425;6.803947222;47.103056;6.786667;1318.4199180242842
2019:12:07 15:29:07;N10E9;CRET;Experimental;2G;47.10624444;6.812616667;47.106667;6.826944;1088.527518792615
2019:12:07 15:30:11;N10S9;CRET;Standard;4G;47.10624444;6.812616667;47.106944;6.826389;1048.2724475622385
2019:12:07 16:08:27;N10E10;GACH;Experimental;2G;47.09890278;6.825008333;47.098056;6.822778;193.72868510053138
2019:12:07 16:09:24;N10S10;GACH;Standard;4G;47.09890278;6.825008333;47.099167;6.825;29.380881204067606
2019:12:10 10:41:11;N11E1;GALO;Experimental;3G;None;None;None;None;None
2019:12:10 10:41:42;N11S1;GALO;Standard;4G;47.05758611;6.746161111;47.057222;6.746944;71.9469112725471
2019:12:10 11:11:48;N11E2;BCEC;Experimental;3G;47.0621;6.745227778;47.0575;6.751944;722.4019560751894
2019:12:10 11:12:01;N11S2;BCEC;Standard;4G;47.0621;6.745227778;47.062222;6.745;21.9858032279225
2019:12:10 11:40:26;N11S3;SAAB;Standard;4G;47.07007778;6.751058333;47.074722;6.757778;725.9905766447868
2019:12:10 11:40:37;N11E3;SAAB;Experimental;3G;47.07007778;6.751058333;47.055;6.748611;1686.5067636520944
2019:12:10 12:14:37;N11S4;CCHP;Standard;4G;47.07184722;6.749775;47.058611;6.745;1515.5452957752598
2019:12:10 12:14:49;N11E4;CCHP;Experimental;3G;47.07184722;6.749775;47.055;6.748611;1875.0266278247777
2019:12:10 12:59:38;N11E5;FERM;Experimental;3G;47.08025;6.75442;47.0825;7.033056;21161.209469052104
2019:12:10 12:59:48;N11S5;FERM;Standard;4G;None;None;None;None;None
2019:12:10 13:51:52;N11E6;CHOU;Experimental;3G;None;None;None;None;None
2019:12:10 13:52:52;N11S6;CHOU;Standard;4G;47.09497778;6.755838889;47.095;6.755833;2.510392157028744
2019:12:10 15:17:11;N11E7;MAIL;Experimental;3G;None;None;None;None;None
2019:12:10 15:18:01;N11S7;MAIL;Standard;4G;None;None;None;None;None
2019:12:10 15:59:21;N11E8;VREV;Experimental;3G;47.10425;6.803947222;47.115556;6.832778;2523.549913380946
2019:12:10 16:01:20;N11S8;VREV;Standard;4G;None;None;None;None;None
2019:12:10 16:24:19;N11E9;CRET;Experimental;3G;47.10624444;6.812616667;47.115556;6.833056;1864.994110941335
2019:12:10 16:25:09;N11S9;CRET;Standard;4G;None;None;None;None;None
2019:12:10 17:00:29;N11E10;GACH;Experimental;3G;47.09890278;6.825008333;47.098056;6.823056;175.583009520832
2019:12:10 17:01:47;N11S10;GACH;Standard;4G;47.09890278;6.825008333;47.098889;6.825278;20.529157769242897
2019:12:17 11:18:42;N12E1;GALO;Experimental;4G;47.05758611;6.746161111;47.056111;6.744722;197.09782620399207
2019:12:17 11:22:03;N12S1;GALO;Standard;4G;47.05758611;6.746161111;47.056944;6.746389;73.45428827476269
2019:12:17 11:42:28;N12E2;BCEC;Experimental;4G;47.0621;6.745227778;47.053056;6.750833;1091.9058937984707
2019:12:17 11:42:39;N12S2;BCEC;Standard;4G;47.0621;6.745227778;47.060278;6.745278;202.59137711701806
2019:12:17 12:05:57;N12S3;SAAB;Standard;4G;None;None;None;None;None
2019:12:17 12:06:08;N12E3;SAAB;Experimental;4G;47.07007778;6.751058333;47.058611;6.745;1355.3157912180818
2019:12:17 12:29:30;N12E4;CCHP;Experimental;4G;47.07184722;6.749775;47.058611;6.745;1515.5452957752598
2019:12:17 12:29:40;N12S4;CCHP;Standard;4G;None;None;None;None;None
2019:12:17 13:00:05;N12E5;FERM;Experimental;4G;47.08025;6.75442;47.076667;6.781111;2065.8040772684417
2019:12:17 13:00:16;N12S5;FERM;Standard;4G;47.08025;6.75442;47.076667;6.781111;2065.8040772684417
2019:12:17 13:45:10;N12S6;CHOU;Standard;4G;None;None;None;None;None
2019:12:17 13:45:21;N12E6;CHOU;Experimental;4G;None;None;None;None;None
2019:12:17 14:56:40;N12E7;MAIL;Experimental;4G;47.10309167;6.786602778;47.1;6.93;10890.961792783293
2019:12:17 14:56:55;N12S7;MAIL;Standard;4G;None;None;None;None;None
2019:12:17 15:27:16;N12E8;VREV;Experimental;4G;47.10425;6.803947222;47.161667;6.930278;11515.449102429384
2019:12:17 15:30:41;N12S8;VREV;Standard;4G;47.10425;6.803947222;47.161667;6.930278;11515.449102429384
2019:12:17 15:48:01;N12E9;CRET;Experimental;4G;47.10624444;6.812616667;47.106944;6.826389;1048.2724475622385
2019:12:17 15:50:23;N12S9;CRET;Standard;4G;47.10624444;6.812616667;47.106111;6.8125;17.277061833483256
2019:12:17 16:19:36;N12E10;GACH;Experimental;4G;47.09890278;6.825008333;47.098611;6.825556;52.733599708084014
2019:12:17 16:20:43;N12S10;GACH;Standard;4G;47.09890278;6.825008333;47.098889;6.825556;41.6046540685912
2019:12:21 10:41:53;N13E1;GALO;Experimental;2G;None;None;None;None;None
2019:12:21 10:45:04;N13S1;GALO;Standard;4G;47.05758611;6.746161111;47.057778;6.746111;21.669844840102634
2019:12:21 11:09:51;N13E2;BCEC;Experimental;2G;47.0621;6.745227778;47.056667;6.7475;628.1816477354953
2019:12:21 11:11:35;N13S2;BCEC;Standard;4G;None;None;None;None;None
2019:12:21 11:38:23;N13E3;SAAB;Experimental;2G;47.07007778;6.751058333;47.056667;6.7475;1515.2109923265825
2019:12:21 11:38:40;N13S3;SAAB;Standard;4G;47.07007778;6.751058333;47.074167;6.7575;667.8706216177238
2019:12:21 12:01:19;N13E4a;CCHP;Experimental;2G;None;None;None;None;None
2019:12:21 12:03:00;N13E4b;CCHP;Experimental;2G;47.07184722;6.749775;47.056667;6.7475;1696.4425584687297
2019:12:21 12:03:40;N13S4;CCHP;Standard;4G;47.07184722;6.749775;47.058611;6.745;1515.5452957752598
2019:12:21 12:30:23;N13E5a;FERM;Experimental;2G;47.08025;6.75442;47.0375;6.702222;6189.771697728642
2019:12:21 12:31:42;N13E5b;FERM;Experimental;2G;None;None;None;None;None
